ISO3,rank,crisis_score,crisis_type,health_need_24,health_need_25,food_need_24,food_need_25,nutrition_need_24,nutrition_need_25,wash_need_24,wash_need_25,health_req,health_fund,food_req,food_fund,nutrition_req,nutrition_fund,total_req,total_fund,health_coverage,food_coverage,nutrition_coverage,health_gap,food_gap,health_per_person,food_per_person,health_change_pct,food_change_pct,nutrition_change_pct,wash_change_pct,food_health_lag,wash_health_lag,compound_lag,health_food_ratio,health_need_share,health_fund_share,effective_dollar_health,effective_dollar_food,health_misalloc,food_misalloc,absorption,gdp_per_capita,physicians_per_1000,beds_per_1000,under5_mortality,life_expectancy,measles_vax_pct,total_pop,population,pooled_alloc,pooled_dependency,covid_funding,covid_specific,inform_risk,inform_rank,inform_risk_class,inform_hazard,inform_vulnerability,inform_health_conditions,inform_food_security,inform_health_access,inform_lack_coping,inform_governance,inform_infrastructure,inform_conflict_intensity,inform_conflict_prob,inform_epidemic,inform_children_u5,inform_socioeco_vuln,trend_food_security,trend_health_conditions,doctors_per_10k,nurses_per_10k,total_workforce_per_10k,health_need_24_n,health_gap_n,inv_cov_n,inv_pc_n,inv_abs_n,coverage_gap,more_neglected
NGA,1,0.6655,FOOD INVISIBLE (<5% coverage) | CAPACITY DESERT (absorption <0.25),26714485.0,24654465.0,21914070.0,25765740.0,18871520.0,19127655.0,25222165.0,26006702.0,33715660.0,1686333.0,224404772.0,2849812.0,94377057.0,8509364.0,926542686.0,618297510.0,0.05,0.0127,0.0902,32029327.0,221554960.0,0.0631,0.13,-7.7112,17.5762,1.3573,3.1105,False,False,False,1.2191,0.2881,1.0397,0.0066,0.0136,75.1546,152.0627,0.1044,1084.1604,0.38,,104.9,54.462,57,867188960.0,9192425.0,19600000.0,12.0838,2114480755.0,146567986.0,6.9,13,Very High,7.5,6.2,4.7,4.6,9.0,7.0,7.1,6.9,7.3,10.0,8.0,6.8,5.7,48.3871,-7.0175,103.842,291.4911,395.3331,0.1314,0.1855,0.8275,0.8406,0.8624,-3.7317,Food
HTI,2,0.6467,TOTAL COLLAPSE (both <5%),23445484.0,29502365.0,31039684.0,40408200.0,5347785.0,5852460.0,23849263.0,26975689.0,69200000.0,1255533.0,423500000.0,4079547.0,40667320.0,4032060.0,673767352.0,365139264.0,0.0181,0.0096,0.0991,67944467.0,419420453.0,0.0536,0.1314,25.8339,30.1824,9.4371,13.1091,False,False,False,0.7553,0.2802,0.6329,0.0189,0.0464,35.2684,168.5389,0.3533,2142.6233,0.292,4.9,55.1,64.936,77,47598220.0,1303023.0,4500000.0,2.2682,296449976.0,28061460.0,7.4,10,Very High,7.4,7.6,2.5,9.4,7.9,7.3,9.0,6.3,5.6,9.7,6.7,3.3,6.6,6.8182,-40.9091,25.7401,62.9459,88.6861,0.1152,0.4068,0.9374,1.0,0.5342,-0.8511,Food
AFG,3,0.6352,STANDARD CRISIS,201376304.0,147946862.0,175236970.0,170406173.0,82167831.0,79994190.0,242558670.0,234743188.0,190768456.0,26561586.0,651101609.0,38342756.0,298043835.0,5669605.0,3059587797.0,1695732677.0,0.1392,0.0589,0.019,164206870.0,612758853.0,0.1319,0.2188,-26.5321,-2.7567,-2.6454,-3.2221,False,False,False,1.1492,0.2871,1.135,0.0355,0.0589,84.7859,138.8545,0.269,413.7579,0.317,0.35,55.5,66.035,55,161647476.0,19844212.0,90900000.0,3.8842,4718210235.0,236628662.0,7.7,5,Very High,7.5,8.2,2.1,7.3,8.0,7.4,8.7,6.8,5.9,10.0,6.2,4.2,8.0,35.1852,-9.5238,4.0813,7.3961,11.4774,1.0,1.0,0.5198,0.3756,0.6453,-8.0346,Food
MLI,4,0.5388,FOOD INVISIBLE (<5% coverage) | CAPACITY DESERT (absorption <0.25),17595494.0,18714846.0,6938610.0,8725967.0,16703927.0,14191493.0,16057175.0,16280139.0,30489234.0,1671526.0,149427065.0,2969250.0,47001741.0,1840941.0,701569941.0,348807205.0,0.0548,0.0199,0.0392,28817708.0,146457815.0,0.095,0.4279,6.3616,25.7596,-15.041,1.3886,False,False,True,2.5359,0.3071,3.343,0.0204,0.0919,303.595,581.7397,0.2146,1094.6195,0.188,0.25,91.3,60.439,72,35814228.0,8880417.0,8000000.0,16.0,769271275.0,66540245.0,6.9,13,Very High,7.4,6.5,4.1,2.3,7.1,6.9,7.3,6.5,7.5,10.0,6.8,5.2,6.9,64.2857,-27.5862,7.0571,2.1733,9.2304,0.0861,0.1658,0.8109,0.5414,0.717,-3.4953,Food
BFA,5,0.4657,FOOD INVISIBLE (<5% coverage),25575124.0,14231351.0,27523189.0,20445339.0,10971042.0,8847346.0,25948763.0,19853562.0,53970921.0,3282489.0,207208331.0,7733541.0,40468759.0,5239525.0,934604385.0,493266373.0,0.0608,0.0373,0.1295,50688432.0,199474790.0,0.1283,0.281,-44.3547,-25.716,-19.3573,-23.4894,False,False,False,0.9292,0.2841,4.3453,0.0429,0.0939,406.1226,993.1857,0.3341,981.9926,0.148,0.2,77.3,61.092,88,94233964.0,3025791.0,9000000.0,11.9141,924818723.0,56180471.0,7.1,12,Very High,7.1,7.3,3.0,3.8,6.0,7.0,6.3,7.5,7.7,10.0,7.3,4.9,6.5,11.7647,-35.4167,4.541,24.2052,28.7462,0.1257,0.3005,0.7903,0.3874,0.5595,-2.3497,Food
MMR,6,0.4614,FOOD INVISIBLE (<5% coverage),144110368.0,141581174.0,154307696.0,166960415.0,26291700.0,34574438.0,56502919.0,78346275.0,92131091.0,21798139.0,183937506.0,4158457.0,54967427.0,135096.0,993548103.0,457855704.0,0.2366,0.0226,0.0025,70332952.0,179779049.0,0.1513,0.0269,-1.755,8.1997,31.5032,38.6588,False,False,False,0.9339,0.378,30.3357,0.043,0.0077,2995.7707,538.2404,0.284,1359.05,0.757,1.07,38.7,66.889,71,,,36000000.0,50.0999,430560831.0,55281191.0,6.9,13,Very High,8.1,6.5,4.0,2.0,6.0,6.3,8.5,4.8,6.4,10.0,6.4,3.7,4.8,-20.0,-6.6667,,,0.0,0.7152,0.4216,0.1841,0.321,0.6255,-21.3991,Food
COL,7,0.4606,"TOTAL COLLAPSE (both <5%) | WASTED POTENTIAL (can absorb, not funded)",29217154.0,18041222.0,36619746.0,24541695.0,,,22319436.0,12781338.0,57798076.0,1904902.0,58265744.0,1445261.0,0.0,0.0,907860094.0,456420792.0,0.033,0.0248,,55893174.0,56820483.0,0.0652,0.0395,-38.2513,-32.9823,,-42.7345,False,False,False,0.7979,,1.5906,0.0494,0.0299,125.9169,79.1397,0.7584,7919.2089,2.535,1.7,12.0,77.725,93,212866368.0,24289.0,1500000.0,1.2525,1269752973.0,60811883.0,5.2,36,High,7.5,6.1,0.7,1.3,2.7,3.1,5.7,2.5,4.6,9.9,5.6,0.9,3.6,-35.0,0.0,35906.7891,34242.2496,70149.0387,0.1439,0.3326,0.8863,0.8122,0.0,-0.8153,Food
COD,8,0.434,FOOD INVISIBLE (<5% coverage),58850789.0,90549744.0,76193688.0,123277746.0,25256734.0,45305211.0,20601213.0,43516525.0,105260067.0,11980303.0,621892660.0,19146692.0,136113346.0,26320067.0,2580627746.0,1430917142.0,0.1138,0.0308,0.1934,93279764.0,602745968.0,0.2036,0.2513,53.8633,61.7952,79.3787,111.2328,False,False,False,0.7724,0.3253,95.8417,0.0599,0.074,9551.7106,15275.2349,0.2944,649.3833,0.208,,73.2,61.895,55,326399090.0,20293436.0,43351831.0,346.8119,2748427041.0,158254300.0,7.7,5,Very High,7.7,7.4,5.1,8.4,8.0,8.1,8.2,8.0,8.8,10.0,8.3,5.6,6.5,15.0685,-8.9286,10.121,56.8243,66.9453,0.2912,0.563,0.6075,0.2254,0.6118,-8.3028,Food
SOM,9,0.3956,HEALTH STARVED of fair share,19796000.779,16200128.0,12884610.0,13568073.0,14393433.0,10053139.0,19927578.9837,15728349.0,80000000.0,5960719.0,301000000.0,19550349.0,75000000.0,3000995.0,1595623827.0,1037618588.0,0.0745,0.065,0.04,74039281.0,281449651.0,0.3011,1.5173,-18.1646,5.3045,-30.1547,-21.0725,False,False,False,1.5364,0.2955,0.191,0.0899,0.4529,-10.4494,43.4026,0.2985,629.5389,,0.87,104.0,58.816,64,12327528.0,12327528.0,58650000.0,1.879,3769067107.0,127137229.0,8.2,2,Very High,8.0,9.4,2.1,9.4,9.0,7.3,9.1,7.7,7.1,10.0,6.5,8.0,9.3,-5.0505,-22.2222,0.0005,3.6163,3.6168,0.097,0.4444,0.743,0.1358,0.6065,-0.9558,Food
SSD,10,0.3856,STANDARD CRISIS,31534461.0,25031179.0,34893078.0,38808575.0,12611597.0,21672941.0,27932453.0,25050687.0,113653248.0,9779137.0,410560173.0,22226220.0,127987663.0,8624664.0,1788817122.0,1409803234.0,0.086,0.0541,0.0674,103874111.0,388333953.0,0.3101,0.637,-20.6228,11.2214,71.8493,-10.3169,False,False,False,0.9037,0.2948,189.4557,0.1051,0.2158,18916.4619,43028.0986,0.3388,,0.041,,98.7,57.617,72,49579884.0,2306221.0,44800000.0,867.9311,3744003205.0,145112763.0,8.3,1,Very High,7.0,9.0,6.0,5.2,8.0,9.2,9.5,8.9,6.5,10.0,7.5,7.6,9.1,0.0,-4.8387,7.7183,20.2279,27.9462,0.1554,0.6282,0.7033,0.1304,0.5533,-3.1907,Food
UKR,11,0.373,"HEALTH INVISIBLE (<5% coverage) | FOOD→HEALTH LAG active | WASTED POTENTIAL (can absorb, not funded)",38890297.0,64459197.0,36400464.0,34930199.0,,,47804889.0,59642437.0,90071830.0,4330916.0,305517901.0,25017885.0,0.0,0.0,3107702931.0,2702277797.0,0.0481,0.0819,,85740914.0,280500016.0,0.1114,0.6873,65.7462,-4.0391,,24.7622,True,False,True,1.0684,,7.5712,0.0835,0.5153,725.5318,4344.0247,0.7498,5389.4731,3.531,6.14,8.1,73.422,91,,,193600000.0,338.4485,3995503775.0,45738407.0,5.6,29,High,8.1,5.9,1.3,2.4,2.9,3.6,6.1,1.9,10.0,10.0,3.9,0.6,2.9,50.0,8.3333,,,0.0,0.192,0.5165,0.8342,0.4543,0.0113,3.3804,Health
CAF,12,0.3554,FOOD INVISIBLE (<5% coverage) | CAPACITY DESERT (absorption <0.25),5289116.0,7648830.0,6939875.0,9138029.0,3375240.0,3873681.0,6109981.0,8213296.0,13522336.0,1725357.0,86183710.0,2454153.0,16594103.0,1107010.0,413844967.0,286791668.0,0.1276,0.0285,0.0667,11796979.0,83729557.0,0.3262,0.3536,44.6145,31.6743,14.7676,34.4242,False,False,False,0.7621,0.2436,3.5975,0.0704,0.0763,335.3883,479.744,0.2158,516.161,0.074,,92.2,57.408,41,,,18100000.0,37.7394,1230115739.0,90936428.0,7.7,5,Very High,6.5,8.2,8.8,6.2,9.3,8.7,8.1,9.2,5.4,9.8,8.0,5.6,8.2,-4.6154,-4.3011,,,0.0,0.0249,0.0609,0.56,0.1214,0.7154,-9.9117,Food
MOZ,13,0.3497,TOTAL COLLAPSE (both <5%) | FOOD→HEALTH LAG active,1232568.0,2893398.0,11648791.937,4166617.0,624646.0,1073936.0,16531963.0,5359521.0,37906706.0,1356341.0,223246028.0,6748603.0,25742682.0,1445.0,502445224.0,246639626.0,0.0358,0.0302,0.0001,36550365.0,216497425.0,1.1004,0.5793,134.7455,-64.2313,71.9271,-67.5809,True,True,True,0.1058,0.041,0.3711,0.4026,0.212,33.0026,145.8442,0.3659,656.7768,0.175,0.74,61.7,63.611,65,140655968.0,203609.0,2315591.0,0.6335,541193623.0,58625539.0,6.9,13,Very High,6.7,7.2,7.8,6.7,7.0,6.8,7.0,7.4,3.6,9.7,6.6,4.1,7.2,-5.6338,-5.7471,118.9535,541.0861,660.0396,0.0047,0.2134,0.8766,0.0,0.5175,-0.5552,Food
TCD,14,0.3423,FOOD INVISIBLE (<5% coverage) | CAPACITY DESERT (absorption <0.25),6343152.0,14243010.0,6479271.0,17828930.0,5163862.0,11145184.0,6727016.0,14452252.0,45505747.0,6023856.0,154983881.0,4160699.0,98972154.0,6700490.0,1124572823.0,939568587.0,0.1324,0.0268,0.0677,39481891.0,150823182.0,0.9497,0.6422,124.5415,175.1688,115.8304,114.839,False,False,False,0.979,0.2567,8.3225,0.153,0.1034,806.585,548.6216,0.1611,961.5598,0.085,0.15,101.1,55.069,66,72134996.0,1269557.0,12000000.0,16.5791,534348190.0,71526720.0,7.8,4,Very High,6.8,8.0,3.6,8.4,8.9,8.6,8.0,9.1,5.3,9.9,7.3,5.9,7.0,42.3729,-12.8205,2.9144,51.3329,54.2473,0.0301,0.2315,0.5435,0.0081,0.7876,-10.553,Food
HND,15,0.3009,STANDARD CRISIS,6731453.0,3427488.0,1435718.0,4983514.0,437398.0,1857852.0,1593377.0,4743707.0,3500000.0,709115.0,42845202.0,3364878.0,11400000.0,0.0,203159869.0,123954398.0,0.2026,0.0785,0.0,2790885.0,39480324.0,0.1053,2.3437,-49.0825,247.1095,324.7509,197.714,False,False,False,4.6886,0.6601,0.6967,0.049,1.0892,3.6671,316.5421,0.4648,3426.4348,0.489,0.53,15.5,72.884,79,39570696.0,61708.0,,,,,5.5,30,High,4.9,5.8,0.8,4.9,5.5,5.9,7.2,4.2,2.8,4.9,6.1,1.4,5.4,22.5,-10.0,3281.7463,1265.6382,4547.3845,0.032,0.0054,0.3013,0.4832,0.3872,-12.4069,Food
ETH,16,0.2995,STANDARD CRISIS,117801547.1364,,114137452.4009,,35705061.3572,,110397169.8159,,187335866.0,54322280.0,1547511649.0,225638571.0,276399218.0,216774099.0,3691808610.0,1250279058.0,0.29,0.1458,0.7843,133013586.0,1321873078.0,0.4611,1.9769,,,,,False,False,False,1.0321,0.3116,45.3591,0.16,0.6859,4504.7486,18810.6256,0.3469,1133.8828,0.143,,46.5,67.315,72,432624780.0,8176436.0,44500000.0,37.1575,3194145657.0,129737276.0,6.9,13,Very High,7.3,6.3,3.0,5.4,6.9,7.0,6.4,7.9,7.3,10.0,7.1,4.2,5.9,8.0,-37.7778,13.8703,0.0133,13.8836,0.5844,0.8078,0.0,0.0709,0.5425,-14.4165,Food
SLV,17,0.2316,"WASTED POTENTIAL (can absorb, not funded)",288528.0,1019245.0,942108.0,3702090.0,227102.0,624881.0,807903.0,2972402.0,3500000.0,264000.0,13700000.0,6085310.0,3000000.0,0.0,86585525.0,34308415.0,0.0754,0.4442,0.0,3236000.0,7614690.0,0.915,6.4592,253.2569,292.9581,175.1543,267.9157,False,False,False,0.3063,0.1273,4.5348,0.5716,4.0355,440.7564,10411.5826,0.6248,5579.6597,1.616,1.21,10.4,72.099,96,25403876.0,532986.0,,,,,4.0,76,Medium,3.6,4.8,1.3,2.2,3.7,3.6,6.0,2.5,1.5,0.4,5.2,1.0,4.7,-29.0323,50.0,191.2621,256.7797,448.0418,0.0,0.0081,0.7399,0.0104,0.1762,36.8755,Health
GTM,18,0.2163,STANDARD CRISIS,4110816.0,2693654.0,21392532.0,6367921.0,8135328.0,4739087.0,5909641.74,2142344.0,2500000.0,582567.0,19879307.0,10099320.0,7910588.0,400000.0,125401425.0,85709007.0,0.233,0.508,0.0506,1917433.0,9779987.0,0.1417,0.4721,-34.474,-70.233,-41.7468,-63.7483,False,False,False,0.1922,0.1039,0.6551,0.0748,0.2492,55.1199,1081.657,0.5279,6150.0257,1.281,0.45,21.4,72.602,90,71372528.0,678942.0,,,56937681.0,421965.0,5.2,36,High,4.5,6.3,0.3,2.9,4.5,4.9,7.2,3.9,2.9,3.1,5.5,2.4,5.4,-32.5581,-50.0,441.157,604.735,1045.892,0.019,0.0,0.1964,0.3461,0.3039,27.5005,Health
